"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a[1]",-4.1114949313,0.688288776287927,-5.113052,-2.3834955,407.019682596286,1.0019473807003
"a[2]",-3.03399785833333,0.341631374816568,-3.56785225,-2.24786575,565.880319163564,1.00068535845246
"a[3]",-2.83425177666667,0.264656901581264,-3.30033975,-2.21319,877.273175333258,0.999646583043359
"a[4]",-1.07881385123333,0.220795662727368,-1.50406675,-0.607608675,816.697234525432,1.00124972282549
"b_sex[1]",-1.176557399,0.282565833541019,-1.75664825,-0.647401925,849.354014229478,0.999533864043534
"b_sex[2]",0.0465958651891667,0.189880436005329,-0.3343689,0.421636875,730.854236053678,1.01266660763482
"b_sex[3]",-0.121412038404667,0.135917084675195,-0.389780975,0.147654325,752.720780870259,1.00135708037955
"b_sex[4]",0.665185122666667,0.110747435241269,0.451119675,0.893800325,551.776506223409,1.00268951548184
"b_middle[1]",1.32795053866667,0.232216838539079,0.8520757,1.780259,572.863530548339,1.00232559899148
"b_middle[2]",0.924969361333333,0.138796903252249,0.6540746,1.19684575,996.305286988418,1.00047781837749
"b_middle[3]",1.49320971666667,0.119261529638173,1.261375,1.730228,570.561443397537,1.00309900955169
"b_middle[4]",-0.32852147879,0.103648541622466,-0.53125615,-0.12573295,573.115522491737,1.00394529221052
"b_ado[1]",1.80064526,0.233474375035317,1.33439675,2.24530175,673.360779357447,1.000588125493
"b_ado[2]",1.259803538,0.172787318776081,0.92340995,1.61004525,793.468781056352,1.00123895569121
"b_ado[3]",2.09905788333333,0.131209151987485,1.84241875,2.35860125,602.235193919739,1.00100859985169
"b_ado[4]",-2.17648584666667,0.146620943076581,-2.47349925,-1.892399,776.831747018526,1.00668930809923
"b_sex_middle[1]",-0.386102613115,0.344598299887607,-1.04629275,0.3083904,744.061896160077,0.999762694523015
"b_sex_middle[2]",0.273576460592,0.215029280562023,-0.1406903,0.72003685,729.324002473006,1.00826665139646
"b_sex_middle[3]",-0.661981061666667,0.170520403095115,-1.011627,-0.341191625,641.347807152885,1.00365707146266
"b_sex_middle[4]",-0.219203263029,0.144740973325633,-0.511164675,0.0612308175000001,490.551979658277,1.00431733160105
"b_sex_ado[1]",-1.19339127553333,0.38880897637676,-1.95192325,-0.4209464,827.757925272139,1.00071112687151
"b_sex_ado[2]",0.549212090827333,0.246963192592008,0.0553431150000001,1.01831975,576.042503484817,1.00815372311971
"b_sex_ado[3]",-0.916817821666667,0.191922971942759,-1.29056725,-0.53904555,636.916262835211,1.00116216753234
"b_sex_ado[4]",0.820915207666667,0.194814063851797,0.437242,1.20193825,541.897453273652,1.00709669264729
"b_nonforaged[1]",0.0858881193853333,0.354215874648453,-0.646142575,0.786416575,1166.63406909436,1.00175785773469
