newID,Age,Sex,food_production,household,childcare,play,offset,doubled,Society,Year
Mayangna_94,4,1,0,1,0,38,82,NA,Mayangna,2004
Mayangna_95,7,0,0,14,1,31,79,NA,Mayangna,2004
Mayangna_96,12,1,5,16,1,7,69,NA,Mayangna,2004
Mayangna_97,9,1,3,13,1,4,77,NA,Mayangna,2004
Mayangna_98,18,1,6,19,0,0,55,NA,Mayangna,2004
Mayangna_99,6,0,0,4,0,29,82,NA,Mayangna,2004
Mayangna_100,11,0,2,27,8,5,82,NA,Mayangna,2004
Mayangna_101,10,0,2,22,1,1,78,NA,Mayangna,2004
Mayangna_102,15,0,4,36,1,0,79,NA,Mayangna,2004
Mayangna_103,12,1,10,11,1,2,75,NA,Mayangna,2004
Mayangna_104,9,1,0,10,0,10,74,NA,Mayangna,2004
Mayangna_105,12,0,10,31,4,4,82,NA,Mayangna,2004
Mayangna_106,8,1,3,8,0,21,75,NA,Mayangna,2004
Mayangna_107,6,1,2,6,0,32,82,NA,Mayangna,2004
Mayangna_108,3,1,0,0,0,11,25,NA,Mayangna,2004
Mayangna_109,17,1,12,12,0,3,62,NA,Mayangna,2004
Mayangna_110,16,1,3,5,0,5,78,NA,Mayangna,2004
Mayangna_111,12,1,7,3,0,2,48,NA,Mayangna,2004
Mayangna_112,3,0,0,0,0,13,57,NA,Mayangna,2004
Mayangna_113,17,0,2,13,1,0,30,NA,Mayangna,2004
Mayangna_114,18,0,0,14,2,0,26,NA,Mayangna,2004
