"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a[1]",-3.9711158676,0.742073656347252,-5.02254025,-2.0892015,512.742902158193,1.00265701168689
"a[2]",-3.13619522166667,0.367517268483474,-3.72364325,-2.23834375,685.5682969081,1.00697190766455
"a[3]",-2.89083147666667,0.279780955053514,-3.364575,-2.2608995,706.056931396076,1.00361473384644
"a[4]",-1.08544583734333,0.143499084546759,-1.3550955,-0.80001695,602.210236739488,1.00459982486159
"b_sex[1]",-1.09122424676667,0.298270676884266,-1.6664635,-0.5089065,954.331707377337,1.0003281685141
"b_sex[2]",0.142521363223333,0.204847998086542,-0.26243475,0.54511145,724.632960271308,1.00526895616012
"b_sex[3]",-0.0714831528855667,0.137746863059779,-0.338629175,0.1965653,1097.90144456787,0.99974043853331
"b_sex[4]",0.629793266666667,0.106745845961762,0.4208962,0.8419362,447.946600763945,1.00608603629295
"b_middle[1]",1.528175887,0.242928637934329,1.05703425,2.021244,612.740899486602,1.00099048945478
"b_middle[2]",0.763461548666667,0.152814083625881,0.4572516,1.0568105,980.329685576483,1.00093226653452
"b_middle[3]",1.44359530733333,0.126044438898202,1.1856815,1.68585175,770.179180413436,1.00199855859147
"b_middle[4]",-0.3506703781,0.104096309979757,-0.55080565,-0.138797325,562.67781505174,1.00058961059371
"b_sex_middle[1]",-0.667961977890667,0.364580822632301,-1.395504,0.0220642675000004,791.679179959252,1.00023373860638
"b_sex_middle[2]",0.305707410648267,0.239590960807215,-0.152777425,0.769625775,746.218867285229,1.00111960366296
"b_sex_middle[3]",-0.683347810666667,0.173166238088012,-1.01803725,-0.332254025,786.524835671518,1.0015093524429
"b_sex_middle[4]",-0.0986657289966667,0.13822479284169,-0.37262385,0.181074725,625.062533354567,1.00156700781373
"b_nonforaged[1]",0.298165614821,0.433042872427242,-0.587465325,1.161937,1044.15286103904,1.00033210267648
"b_nonforaged[2]",-0.470852495984333,0.258168169452788,-0.9684537,0.0998835175000002,964.427073804468,1.00277899229783
"b_nonforaged[3]",0.209184007839667,0.203244598173784,-0.1952074,0.61530785,929.22392959401,1.00089571101106
"b_nonforaged[4]",0.154769950031667,0.105817078421925,-0.0707894375,0.36976905,913.748247086476,1.00044909322429
"b_NPP[1]",-0.270566339498,0.433068538736301,-1.10770175,0.6449449,1348.18462412738,1.00207431528529
"b_NPP[2]",0.1177135301321,0.256163188204587,-0.407432125,0.644085025,1110.35578057774,1.00080896906608
"b_NPP[3]",-0.272698840640467,0.199240856987669,-0.68671135,0.13101755,1181.0161627152,1.00280482878747
"b_NPP[4]",-0.30309610655,0.10478797712733,-0.5033224,-0.0812573249999999,1016.14942724903,1.00252700051467
"b_temp[1]",0.568212821753333,0.508836843127881,-0.475086,1.55736275,1505.68204266441,1.00037928536242
"b_temp[2]",0.574640416740333,0.305463346032762,-0.0417053124999998,1.1606735,1280.41290342212,1.00147039068447
"b_temp[3]",0.494848025483333,0.250661395373806,0.0060895722500001,0.998542775,1004.52585781307,1.00231444006717
"b_temp[4]",0.56150851719,0.138959690849943,0.26909535,0.815030575,800.909378340316,1.00275189009787
"b_prec[1]",0.281921956065367,0.412126956273015,-0.481828649999999,1.157278,1314.28957216741,1.0000481142597
"b_prec[2]",-0.460341546917667,0.243534119885547,-0.902662825,0.05521615,981.220331564554,0.999988959941412
"b_prec[3]",-0.10918588463,0.187459819510193,-0.4997229,0.24648115,1002.55384880896,1.00454290941865
"b_prec[4]",-0.0771571406499333,0.0973652670669744,-0.26498765,0.131048425,822.738567632111,1.0047058534554
"z_id[1,1]",-0.427583746227767,0.7747859196783,-1.99644925,0.99802675,2987.52030930097,0.999239816165913
