"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a[1]",-3.95042916466667,0.692895518977018,-5.00871225,-2.2747805,520.437512443047,1.00229402033132
"a[2]",-3.01181499333333,0.343132533257719,-3.6167015,-2.2316795,749.195430534918,1.00363760435843
"a[3]",-2.80673257333333,0.284402367620854,-3.318593,-2.204257,883.916958656965,1.00191888869894
"a[4]",-1.05500980023333,0.242097048038585,-1.48838425,-0.534397325,780.454244214246,1.000636516136
"b_sex[1]",-1.181050039,0.267111697256909,-1.73204325,-0.671448924999999,718.886537658061,1.00325886940802
"b_sex[2]",0.0575271564824,0.191241632555058,-0.31877175,0.433397425,617.923102013546,1.00594256458927
"b_sex[3]",-0.120049571675667,0.136337409067807,-0.378865925,0.145392675,690.255819668358,1.00033315249462
"b_sex[4]",0.660171860333333,0.108191800935111,0.444541475,0.872627925,443.484743719221,1.00824166660481
"b_middle[1]",1.32651715933333,0.221654679113507,0.891401225,1.7568245,713.246869809309,1.00350090786034
"b_middle[2]",0.931247158666667,0.147991518373159,0.637740275,1.2233255,775.285656257456,1.00228140913502
"b_middle[3]",1.49851898333333,0.123142087365612,1.2570785,1.7440595,611.02291520204,1.00142898117389
"b_middle[4]",-0.335122906445667,0.103823175111322,-0.538868375,-0.127393375,628.424260476037,1.00923525136178
"b_ado[1]",1.796511127,0.231661207612225,1.33686775,2.25978775,726.997815645247,1.00202844899799
"b_ado[2]",1.26635282033333,0.173191250732162,0.9278082,1.6003605,440.082571700914,1.00666066722309
"b_ado[3]",2.10363551,0.132830560486432,1.83869375,2.361864,507.836560410823,1.0011056026753
"b_ado[4]",-2.18719583,0.147939020580715,-2.4809765,-1.9067885,736.608410359349,1.00085336270112
"b_sex_middle[1]",-0.40699598761,0.338684691476784,-1.0570855,0.273686,805.549247490925,1.00573491118442
"b_sex_middle[2]",0.270264538087667,0.223058316896066,-0.16987035,0.7106583,512.746615179662,1.0039378241222
"b_sex_middle[3]",-0.6647185468,0.175516844902312,-1.00866025,-0.321039575,646.096782152215,1.00199479702963
"b_sex_middle[4]",-0.218647380828,0.137314191585754,-0.49245515,0.0569084475,607.891107974796,1.0077597152966
"b_sex_ado[1]",-1.19374686136667,0.38694521539158,-1.92825125,-0.43108305,879.182981788365,1.00265849042989
"b_sex_ado[2]",0.542092803578,0.250896288418661,0.0538525050000002,1.03139575,451.916662571548,1.00379025574188
"b_sex_ado[3]",-0.910649606,0.189790563173044,-1.29216925,-0.540401875,568.140736952353,1.00336772829443
"b_sex_ado[4]",0.825970777333333,0.1974856394225,0.4463687,1.236016,598.241043417353,1.00331611451795
"b_nonforaged[1]",0.096115520078,0.410876374647557,-0.7179202,0.934827775000001,937.013285726382,1.00154992587205
"b_nonforaged[2]",-0.476994259675667,0.243535336635049,-0.954287225,0.0120938150000001,956.465647629267,0.999419077020823
"b_nonforaged[3]",0.130080891525133,0.202453114845746,-0.291200025,0.527960325,1071.85196720252,1.00093881225493
"b_nonforaged[4]",-0.133101333044333,0.178939085143841,-0.47859225,0.2225201,1156.69952419066,1.00203395470862
"b_NPP[1]",-0.099729688736,0.425741717927897,-0.94875165,0.72118825,1277.34604927676,1.00110742455558
"b_NPP[2]",0.110237611419333,0.238263168149805,-0.342552275,0.591520525,950.502311130406,1.0006408738843
"b_NPP[3]",-0.1022677653599,0.204248525454069,-0.51654195,0.302896125,1287.05926500951,1.0002407186256
"b_NPP[4]",0.00569486042633333,0.179803059446293,-0.361703225,0.3646299,1234.01173448007,0.999210537471035
"z_id[1,1]",-0.41135717004,0.768172077309529,-2.0074635,0.98301165,2940.58441298573,1.00053716395892
"z_id[1,2]",-0.594066117847,0.763705560274094,-2.19650175,0.790530075,3157.18720187311,1.00199760793422
"z_id[1,3]",-0.330218242569333,0.923128243616975,-2.1944465,1.4231725,5045.30085903508,0.999307965946485
"z_id[1,4]",-0.282807903625,0.934331439886342,-2.1477325,1.44573625,4234.05066491857,0.999539668780369
"z_id[1,5]",-0.221076769439333,0.887065491183317,-2.0104725,1.454895,4247.99514681953,0.999781473066218
"z_id[1,6]",-0.159986677013,0.904516451118549,-2.04027325,1.49903175,3729.81180731176,0.999890925193686
"z_id[1,7]",-0.103364823239333,0.829998653304141,-1.797708,1.42877975,3102.44887470631,1.00005600601792
"z_id[1,8]",-0.414711065747,0.87517833691686,-2.24181925,1.20637175,4487.41327874106,1.00022114232731
"z_id[1,9]",-0.437429229870667,0.864578228691434,-2.13856025,1.18813875,4593.76869423284,0.999646091572231
"z_id[1,10]",1.90638603653333,0.606574882113719,0.652699575,3.02845375,2611.02860128039,0.999448890472204
"z_id[1,11]",0.542368477826333,0.500957942474637,-0.4310753,1.51863875,2055.85160277031,1.00025255385224
"z_id[1,12]",0.452557924305333,0.529687538767007,-0.549391725,1.476092,2159.78454169454,0.999994438359093
"z_id[1,13]",-0.309082900868783,0.915376364070282,-2.169048,1.41735375,3659.59344027696,0.999318511858632
"z_id[1,14]",1.37409492797,0.643518889469623,0.0491507450000006,2.57248075,2848.89170988128,0.999951269450479
"z_id[1,15]",-0.469722642800667,0.866284675765483,-2.256424,1.10899125,3486.34876502342,1.00056415858261
"z_id[1,16]",0.456591893673333,0.353672442820424,-0.297463525,1.127763,1869.21153760874,1.00018302213603
"z_id[1,17]",-0.516044331118333,0.72773970306472,-2.076728,0.745617625,2702.44845079051,0.999872831702247
"z_id[1,18]",-0.259893663777333,0.409234344930618,-1.1088055,0.48327875,1811.5283283438,1.00012932079504
"z_id[1,19]",-0.483437179161867,0.759050768576457,-2.107587,0.860540775000002,2657.44173541585,1.00003471489094
"z_id[1,20]",1.54764334266667,0.240790617183525,1.08322875,2.02443275,893.903489592121,1.00103844975887
"z_id[1,21]",-0.624074067783333,0.795221522592888,-2.251428,0.778450075,2597.29151588256,0.99926136232751
"z_id[1,22]",-1.04892407940333,0.651303571094557,-2.415782,0.10726325,2556.39073176973,0.999525291231271
"z_id[1,23]",-0.246953280103667,0.849931850840731,-2.0402125,1.26848825,2788.45226296033,0.999521745166387
"z_id[1,24]",0.0203475594186667,0.837862679982276,-1.71103075,1.566703,3111.11903633923,0.999470369800232
"z_id[1,25]",0.229614730771333,0.790022166668908,-1.393476,1.65918225,2202.44412135696,0.999176284146379
"z_id[1,26]",0.3401017106,0.315512568117414,-0.30329395,0.932335375000001,1382.37793821782,1.00134675181532
"z_id[1,27]",-0.656923970659333,0.896980966144597,-2.53300375,1.02465825,3366.26830391156,0.999381894455563
"z_id[1,28]",1.13723069722,0.483879633300351,0.1012871325,2.01070625,2263.78241609276,0.999479570658434
"z_id[1,29]",-0.305832232674667,0.826404678714093,-1.973716,1.1664215,2642.02423450308,1.00093009212128
"z_id[1,30]",-0.531514984854,0.54573499350763,-1.692355,0.433969,2604.24793384848,1.00024184212698
"z_id[1,31]",-1.22611747438,0.606208967303685,-2.53825875,-0.1335352,2292.7095509784,1.00133542516742
"z_id[1,32]",-0.870988956557,0.656459646652556,-2.291403,0.264750125,2450.84023442615,0.999747548140328
"z_id[1,33]",-1.06248108935,0.660101490836581,-2.44141025,0.0814623725000001,2339.36948083151,1.00117402505292
"z_id[1,34]",1.08882254142667,0.567715819341856,-0.1428331,2.05628325,2318.17973277719,1.00026397672953
"z_id[1,35]",2.93005688,0.269197435131837,2.406057,3.46724625,894.955558389127,1.00204593906446
"z_id[1,36]",-0.0916674671243667,0.369227538109531,-0.8572336,0.605112975,1848.38984008539,0.999582548739144
"z_id[1,37]",0.297756599469,0.593562542662903,-1.008548,1.289869,2196.42755247559,1.00009934312022
"z_id[1,38]",-0.79176048831,0.67537764477619,-2.174168,0.393217175,2529.46205536298,1.0002989949062
"z_id[1,39]",2.39373563666667,0.288340220943129,1.813592,2.9369725,1108.35019728202,1.00201843275615
"z_id[1,40]",0.825159685657333,0.573715722335962,-0.4058199,1.8415535,2313.35323322562,1.0010951932385
"z_id[1,41]",0.4719076063558,0.556084203926051,-0.737504549999999,1.4711375,2097.84385782796,1.00121051740671
"z_id[1,42]",-0.863563448683333,0.775385049840011,-2.44708,0.487795625,3159.42306756708,0.999997951349565
"z_id[1,43]",-0.943548379911667,0.757462486042685,-2.550102,0.3787397,2677.38774189078,0.999533134835205
"z_id[1,44]",1.6914571635,0.434296240138247,0.77707275,2.47104475,2149.54806921203,0.999801991440767
"z_id[1,45]",-0.442456967379,0.540301180907956,-1.60010325,0.514301425,2496.07931574736,1.00000225884774
"z_id[1,46]",-0.769208030296333,0.744083180028933,-2.26947975,0.527828400000001,2586.27443327326,0.999382646739512
"z_id[1,47]",-0.4902372604794,0.746417058558204,-2.03889375,0.8199906,2641.02796609713,1.00238070888358
"z_id[1,48]",-0.681101285887667,0.812684661044116,-2.339753,0.7903331,3140.45332888642,1.00094730192484
"z_id[1,49]",-0.8176915988668,0.762174166562594,-2.3854105,0.544983,2392.96974525776,1.00061517067184
"z_id[1,50]",0.401412407881667,0.409005359616455,-0.45678465,1.14003675,1990.03460094032,0.999863179719513
"z_id[1,51]",-0.897153613928433,0.798755387078269,-2.5658435,0.51221615,1995.74658349908,1.0004249135164
"z_id[1,52]",-0.637200682392333,0.783595561047682,-2.2723465,0.7860618,2824.83740424603,0.99927787583214
"z_id[1,53]",-0.438224930806,0.77502644625801,-2.0923055,0.9320532,2885.88822895688,0.999240837026734
"z_id[1,54]",0.456156061748,0.296081812850339,-0.121597625,1.02253025,1373.09268577632,1.00020361835853
"z_id[1,55]",-0.761726574962233,0.626503762886517,-2.11801625,0.348102675,2633.01026041468,1.00067776499082
"z_id[1,56]",0.240220885998667,0.491761098218829,-0.813238724999999,1.128791,2780.57848458549,0.999524692085242
"z_id[1,57]",0.852869530603867,0.318115621987782,0.202482275,1.43570325,1378.42086705553,0.999827128255189
"z_id[1,58]",-0.133441647212333,0.804169193259886,-1.770445,1.31174,2397.47532227269,1.00010348376119
"z_id[1,59]",-0.671669787096667,0.786383225097999,-2.310356,0.727048175,2652.61410322061,0.999704113188198
"z_id[1,60]",-0.551037184030333,0.758929132208947,-2.187691,0.7727698,2085.21215119111,1.00103527186885
"z_id[1,61]",0.453237140829667,0.383878661004437,-0.373883475,1.15003075,1788.43448245606,1.00194905286706
"z_id[1,62]",-0.287493570492,0.792345574225619,-1.890045,1.1472015,2508.74349449838,1.00027595703179
"z_id[1,63]",2.2542247,0.270433017901353,1.72113675,2.778615,945.976066304082,1.00131588811177
"z_id[1,64]",-0.101238370559,0.83793227886873,-1.8030475,1.4583795,2380.47014993032,0.999276016732066
"z_id[1,65]",-0.820113998265,0.810716001801891,-2.4710315,0.649119725,2296.86157797552,1.00015600624008
"z_id[1,66]",1.54348421833333,0.296565298156301,0.9483717,2.1044085,1241.26920171661,1.00186421849569
"z_id[1,67]",1.70536191333333,0.331714891244029,1.03197825,2.32878775,1341.67079365997,1.00196617435115
"z_id[1,68]",0.3929582712781,0.286939380887613,-0.18799225,0.954457825,1108.1627996058,1.00135171067969
"z_id[1,69]",-0.2916937984018,0.66731762824041,-1.6985805,0.872071500000001,2387.07117812745,1.00047845798271
"z_id[1,70]",1.232580454,0.241730351720345,0.766320775,1.71934,783.156759520005,1.00522571523731
"z_id[1,71]",-0.667122230857333,0.707467127651778,-2.143603,0.580143675,2828.64525067632,0.999756241732887
"z_id[1,72]",0.654816561880333,0.446851333888214,-0.315614,1.4537275,2153.94484094846,0.999460254354558
"z_id[1,73]",-0.592774941936667,0.511305808119128,-1.69760825,0.283606875,2369.46484978373,0.999976710121015
"z_id[1,74]",-1.61665963636667,0.642195302683893,-3.008049,-0.5054891,2567.65676221172,0.999697843336614
"z_id[1,75]",-0.556623334998467,0.723248310327859,-2.03871025,0.724555600000001,2753.46734906377,0.999691880698114
"z_id[1,76]",-1.22148637793167,0.795303319320497,-2.919387,0.214443875,2325.44339124303,0.999669958122865
"z_id[1,77]",1.70013684566667,0.307374306963673,1.101284,2.29646925,1221.87011394011,1.00251225247889
"z_id[1,78]",-0.526430709153333,0.729525132004748,-2.0536655,0.796920775000001,2462.38418185105,0.999391786175189
"z_id[1,79]",-0.753456888034333,0.499604617164169,-1.8600675,0.0966763275000001,2432.77262331539,1.00173039592436
"z_id[1,80]",-0.721698202151667,0.651104311842857,-2.06181175,0.435853225,2108.36151599605,1.00007643255306
"z_id[1,81]",1.02454410056667,0.401304120474364,0.169847675,1.7583225,1752.64873998633,1.00008578430623
"z_id[1,82]",0.67033655124,0.284634368622914,0.0849354725000002,1.2159625,1048.05730289975,1.00166744553645
"z_id[1,83]",0.392326174207333,0.576594770852086,-0.900284075,1.41917975,2455.58876099904,1.00132802819886
"z_id[1,84]",0.312095264411,0.645205953898141,-1.0538865,1.4391175,2504.7307399034,0.999884907963383
"z_id[1,85]",-0.6769991334146,0.719446460124785,-2.12843975,0.632297375,2545.35456391413,0.999918631641626
"z_id[1,86]",0.162417507463333,0.351897685938544,-0.5563809,0.78104875,1394.30067533713,1.00154815481277
"z_id[1,87]",-0.184925083518333,0.33251330882886,-0.841053949999999,0.44017065,1678.40075580875,1.00209062650671
"z_id[1,88]",0.826458482266667,0.241418278698064,0.34849835,1.3094185,809.269314313098,1.00426249609259
"z_id[1,89]",-0.2752509669917,0.375695641838104,-1.05045975,0.426825675,1657.95615506274,1.00216275278336
"z_id[1,90]",-0.214241008554667,0.724312791474201,-1.7044235,1.0737975,2692.0481616196,1.00060012999887
"z_id[1,91]",1.03863197757533,0.449037584376106,0.1131274,1.88193025,2050.49595097607,1.00020602726453
"z_id[1,92]",-1.37124158981333,0.607958642307317,-2.718315,-0.3164324,2378.49971862105,1.00008122697303
"z_id[1,93]",0.592171672329333,0.484816544352335,-0.42228735,1.49547225,2342.29453912589,1.00026095978337
"z_id[1,94]",1.48467766833333,0.299367672162598,0.8935136,2.0611755,1165.155572699,1.00199017933887
"z_id[1,95]",-0.540046376969,0.841605970270095,-2.29397575,0.973020000000001,3223.64109671827,0.999824244350494
"z_id[1,96]",0.58906300184,0.460584238571627,-0.347288925,1.42816275,2070.03068295738,0.999645953460803
"z_id[1,97]",0.992021753,0.244055521315667,0.520521975,1.48089225,796.834061891066,1.00224222415581
"z_id[1,98]",-0.167116526892267,0.496851378011553,-1.286021,0.715903,1863.42902871874,1.00210512973459
"z_id[1,99]",0.589578378609233,0.352389032215252,-0.12742085,1.26439875,1345.99583691399,1.00233477700615
"z_id[1,100]",-0.554529593662,0.756538265617604,-2.13366375,0.8091988,2167.8604790742,1.00231903787136
"z_id[1,101]",0.0148677098453333,0.545746278759611,-1.16074475,1.006791,2138.71909921654,1.00009889154056
"z_id[1,102]",-1.20239889685333,0.61642138710743,-2.5525605,-0.0746433524999998,2204.9775556453,1.00163538698224
"z_id[1,103]",-0.35509110544,0.711209405919069,-1.89838775,0.863726325000001,2236.84810840654,1.00017989076456
"z_id[1,104]",-0.858011222977,0.766610494648498,-2.511805,0.49257315,2861.30120478973,1.00040470637141
"z_id[1,105]",-0.730954149246,0.711471787569646,-2.2601315,0.52713415,2381.02666761354,0.999678495418947
"z_id[1,106]",-0.888454303656667,0.768485652881148,-2.51396175,0.465915325,2749.49465889455,1.00001039356344
"z_id[1,107]",-0.552766932419,0.729450165321882,-2.08327375,0.738537175,2657.09059620436,0.999474674081109
"z_id[1,108]",-0.933806699066333,0.740217332772278,-2.4813285,0.371857625,2525.40660833261,1.00122531252137
"z_id[1,109]",-0.994499158741,0.59347527502997,-2.25315075,0.0396597750000004,2012.21646208852,0.99950716526809
"z_id[1,110]",0.964632433233333,0.301095155067254,0.362036175,1.55375325,1206.35774953506,1.00055426181606
"z_id[1,111]",-1.04383674890533,0.778256722386913,-2.67261175,0.2935584,3027.7472217886,0.999660473004612
"z_id[1,112]",-1.19672345087033,0.707647907049149,-2.67467775,0.0737392600000001,2921.4986393825,1.0005663929681
"z_id[1,113]",0.684657129898917,0.450519364706686,-0.2688717,1.5071815,2392.7860892533,1.00053158312108
"z_id[1,114]",1.21050139066667,0.229634914164353,0.7729537,1.68838075,643.672906392322,1.00530627071326
