"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a[1]",-3.95595650833333,0.727106798679483,-5.03649625,-2.23034775,440.741609061734,1.003782647883
"a[2]",-3.01607446366667,0.359847754103426,-3.61690175,-2.2059385,830.67213187312,1.00265435807601
"a[3]",-2.735162975,0.334796800925963,-3.28139925,-1.96150475,878.150990410557,1.00374267347086
"a[4]",-0.976913041566667,0.227404495071696,-1.38834075,-0.47075805,821.830972937671,1.00458339120277
"b_sex[1]",-1.181947558,0.271914883231065,-1.70045925,-0.650815625,1013.18691912141,1.00069945622726
"b_sex[2]",0.0228047754415333,0.189939118056401,-0.343893375,0.400246525,690.729596128264,1.00128159843119
"b_sex[3]",-0.126874996251057,0.134187187428598,-0.38944305,0.131137275,1004.38326795821,1.00162617041381
"b_sex[4]",0.673590587666667,0.110019613858649,0.46283625,0.8911705,617.1004246074,1.00123634218678
"b_middle[1]",1.339412566,0.228996616334424,0.874264475,1.77258025,656.693716993037,1.00395762362396
"b_middle[2]",0.922660934666667,0.144625945752289,0.646092425,1.194873,916.012183065714,0.999767530857965
"b_middle[3]",1.49479281,0.119144901187714,1.26153275,1.73240875,951.573569315291,1.0005634673342
"b_middle[4]",-0.319601349186667,0.104233560518218,-0.5162638,-0.1084457,816.110732785275,1.00193274947873
"b_ado[1]",1.81849051666667,0.238165444439115,1.360298,2.2761725,725.349314998233,1.002446671624
"b_ado[2]",1.260725212,0.178945521592725,0.905450725,1.59988675,792.586021083609,0.999836725810777
"b_ado[3]",2.10034487333333,0.127794219251923,1.84367675,2.34703125,848.500635403487,1.00148157743395
"b_ado[4]",-2.16190332666667,0.149436965038909,-2.45742225,-1.871067,875.720400902844,1.00248321304174
"b_sex_middle[1]",-0.403367627444,0.340394735691143,-1.0652275,0.258220775,790.849703662966,1.00060343753698
"b_sex_middle[2]",0.289442295150333,0.212337955365339,-0.130435575,0.69712025,857.40121565115,0.999997388116383
"b_sex_middle[3]",-0.655888285746667,0.172553702921871,-1.004166,-0.326317725,888.417786315934,1.00464172217968
"b_sex_middle[4]",-0.229332413597,0.139107746712102,-0.50559355,0.0400510800000001,785.618875392675,1.00096943930916
"b_sex_ado[1]",-1.19868743552667,0.385706998047344,-1.94130575,-0.4207597,1094.95074080715,1.00090998719583
"b_sex_ado[2]",0.556144729549233,0.250505646891216,0.0756092525,1.06790125,623.206564623731,0.999528101683819
"b_sex_ado[3]",-0.902750403,0.188511614634561,-1.25977175,-0.54325825,832.31949015846,1.0016492912968
"b_sex_ado[4]",0.808664694933333,0.19546017661148,0.426175125,1.184114,927.043682363092,1.00071250012917
"b_nonforaged[1]",0.089372128765,0.381279979054181,-0.68140715,0.86054055,1243.44633020399,0.999892040835694
"b_nonforaged[2]",-0.443494234041733,0.227082470570987,-0.8876934,0.0404602075000001,1191.13256646281,1.00022927378154
"b_nonforaged[3]",0.0950118243983,0.203575796005955,-0.322347575,0.51323675,1324.43460320917,1.00101576519645
"b_nonforaged[4]",-0.109473066282523,0.153670163429059,-0.40017165,0.2122925,1454.1824758671,0.999754254503772
"b_snake[1]",0.17140192609,0.453816480314988,-0.6461817,1.13524175,1091.05621381373,1.00122936364508
"b_snake[2]",-0.0383482531066667,0.280883231238816,-0.559262,0.583923525,825.919014723816,0.999648469317922
"b_snake[3]",0.1460670119084,0.228472780659623,-0.288295825,0.637366775,1102.67511689824,1.00130558083551
"b_snake[4]",0.272479107295367,0.184779230304265,-0.079985945,0.640229125,1317.07910771137,1.00266602165511
"z_id[1,1]",-0.393186923326667,0.783896824832893,-2.05859825,1.03932525,3949.2480462165,0.999429895590416
"z_id[1,2]",-0.575008289581,0.77567534604371,-2.15528425,0.880171225,4018.72919752881,0.999290505638108
"z_id[1,3]",-0.324738711283667,0.877528842405346,-2.16580975,1.340774,5962.76680183474,0.999354320402879
"z_id[1,4]",-0.2494630396,0.884707010514115,-1.9887365,1.380824,4043.97370711286,0.999138997746232
"z_id[1,5]",-0.229094699461,0.885326290614657,-2.0619055,1.471596,5175.55317129246,0.99942856237611
"z_id[1,6]",-0.143766747045667,0.911613544561983,-1.973496,1.5231475,4744.53286683122,0.999340834097783
"z_id[1,7]",-0.068445813034,0.844061530726918,-1.792105,1.432177,3978.52877449632,1.00166401391047
"z_id[1,8]",-0.415441689254333,0.885793802952061,-2.20601525,1.24965225,4427.19962619115,0.999097614864477
"z_id[1,9]",-0.437409461138733,0.861528590070189,-2.15417275,1.19864875,4396.11721076813,0.999628217142692
"z_id[1,10]",1.90910965264667,0.591901140937104,0.71442135,3.041017,2647.02008801809,0.999500658194503
"z_id[1,11]",0.545728827161333,0.512979289385884,-0.469789275,1.50906325,1936.09580734814,0.999428622455042
"z_id[1,12]",0.464384894657,0.539727222347098,-0.619617725,1.45119625,2029.88413916962,0.999644407956988
"z_id[1,13]",-0.270356782562333,0.854312145592596,-1.9747525,1.31973875,6411.51813081914,0.999889034819648
"z_id[1,14]",1.36473326766433,0.636068938019499,0.0630986575000001,2.574954,3059.68676565335,1.00092714504638
"z_id[1,15]",-0.457638590651667,0.854855391480127,-2.1853905,1.1831095,4572.36550706417,0.999236206078237
"z_id[1,16]",0.432113664495667,0.347130295180193,-0.3058019,1.06569375,2096.04134784274,0.999325160794559
"z_id[1,17]",-0.511859488325333,0.713938312929827,-2.03183225,0.740002975,2916.73423280964,0.999842677105564
"z_id[1,18]",-0.289081012912333,0.402136483324662,-1.10819225,0.453353975000001,2562.04185558095,1.00020109330653
"z_id[1,19]",-0.468847366126667,0.77746554972363,-2.11979775,0.8995303,3007.85760683167,0.999352755473868
"z_id[1,20]",1.51959513866667,0.243317230725185,1.03554275,1.99861175,906.212805581217,1.00188934092334
"z_id[1,21]",-0.61471765303,0.756416380438077,-2.150124,0.783635350000001,3569.64444254816,0.999844281988314
"z_id[1,22]",-1.05808118441033,0.640325877191811,-2.44891875,0.0553668975000011,2996.7675289981,0.99920467747101
"z_id[1,23]",-0.282094281900333,0.857097565453478,-2.0314265,1.251088,3442.43362915996,0.999417163904688
"z_id[1,24]",0.0579783198636667,0.822674543011382,-1.628008,1.5336525,4453.20961068696,0.999780355572523
"z_id[1,25]",0.237988295223533,0.80506130702018,-1.4413375,1.68221525,1917.08249597033,0.999945711142395
"z_id[1,26]",0.314736832886667,0.321677036259571,-0.342687025,0.907663175,1684.83437380019,1.00003704972773
"z_id[1,27]",-0.635544204768333,0.906155081477892,-2.47465775,1.02016925,4480.18619727617,0.999737848403459
"z_id[1,28]",1.10910024294,0.484444883935263,0.09652225,2.00908725,2812.61159068365,0.999752706435931
"z_id[1,29]",-0.270871541089,0.813102552590733,-1.9335755,1.2112485,2959.7314448429,0.9993622750785
"z_id[1,30]",-0.54906242203092,0.560046532820201,-1.74794525,0.456457175,2420.8348324264,1.00063736173614
"z_id[1,31]",-1.24413988323,0.618905000782924,-2.5491225,-0.15377755,3018.8779520891,0.999690222860874
"z_id[1,32]",-0.886187100082333,0.664045557850533,-2.2808265,0.27258275,2662.35309423182,1.00029532897294
"z_id[1,33]",-1.04531361757933,0.645744726977456,-2.42172725,0.087253835,2912.24123221949,0.999248047654007
"z_id[1,34]",1.08808956893233,0.553790916907237,-0.143681975,2.04433,2779.76419632071,0.999754706733931
"z_id[1,35]",2.90284304,0.266136734682395,2.38922875,3.43005175,838.787813695479,1.00120541015341
"z_id[1,36]",-0.119663027989367,0.364533537407582,-0.8920946,0.534110325,2054.59381451082,1.00005772063468
"z_id[1,37]",0.288338417093667,0.561025077357813,-0.875611,1.31186725,2288.20654589412,0.999342832166214
"z_id[1,38]",-0.803410053338333,0.666793961946444,-2.2577245,0.369655175,3552.61537377506,1.00018065383498
"z_id[1,39]",2.37275083,0.287213139040139,1.80958875,2.95185575,922.419200870785,1.0014015077906
"z_id[1,40]",0.825075296736667,0.548666146225604,-0.346444975,1.80119425,3333.7126149429,1.00023273308761
"z_id[1,41]",0.439611031560333,0.575342007128802,-0.8140528,1.4465775,2639.75756957553,1.0012794020538
"z_id[1,42]",-0.854958229654667,0.776170874860439,-2.50444975,0.525397100000001,3996.88112050515,0.999250692685542
"z_id[1,43]",-0.933419737636667,0.73034455279149,-2.49426475,0.3653138,3378.34315634047,1.00047321661524
"z_id[1,44]",1.67555208966667,0.417299690262721,0.83593545,2.46551025,2578.00190751348,1.00014124685956
"z_id[1,45]",-0.432094502911,0.517809670059737,-1.54633125,0.493145825000001,2910.6839987867,0.999441465791344
"z_id[1,46]",-0.781784686576,0.746264547146403,-2.36050975,0.545456150000001,2600.77124145409,0.999715546668176
"z_id[1,47]",-0.519557176518267,0.761304149894564,-2.15064525,0.83433745,2949.38555396068,1.00002943551453
"z_id[1,48]",-0.672970918606,0.825257848498812,-2.4380695,0.792754075,3892.72427593161,1.00057847167165
"z_id[1,49]",-0.816152103640333,0.763285071200403,-2.400092,0.562949775,3432.05357203239,0.999998253247249
"z_id[1,50]",0.374643731737667,0.407148530072386,-0.45028725,1.11736075,2273.69289636861,0.999431058262775
"z_id[1,51]",-0.915668381698667,0.807751194243401,-2.51600075,0.529503325,3115.91803391224,0.999966748744661
"z_id[1,52]",-0.668918018768333,0.765806951663671,-2.2952275,0.687084475,2602.84258704358,0.999604428012308
"z_id[1,53]",-0.4479889728763,0.753217675987171,-2.032237,0.867074675,2928.12998916754,0.99955198706486
"z_id[1,54]",0.434854956845333,0.294427726292853,-0.147232825,1.008028,1359.40281058401,1.00056109078474
"z_id[1,55]",-0.802838948236667,0.644686736619477,-2.145455,0.323061650000001,2618.72983021469,1.00085397242283
"z_id[1,56]",0.229674933358833,0.499602800107725,-0.8911127,1.116071,3435.29646252635,0.999718201808214
"z_id[1,57]",0.833812055208333,0.324074063966326,0.1851766,1.4349625,1872.72638980871,0.999732397206539
"z_id[1,58]",-0.126153359632,0.810668958746989,-1.80185625,1.32610875,3026.52365116189,0.999779909452257
"z_id[1,59]",-0.654785373161333,0.776953646247282,-2.288181,0.730115375,3573.43554362614,0.9997629868927
"z_id[1,60]",-0.537236084048,0.758436071120941,-2.08943875,0.833737925,3056.01223151362,1.00043355019388
"z_id[1,61]",0.432111121225667,0.386747587312923,-0.38318435,1.13035175,2408.44313432475,1.00046630259477
"z_id[1,62]",-0.298673286835333,0.818608645442115,-1.994833,1.185442,2849.60311933644,0.999316053441384
"z_id[1,63]",2.23382045666667,0.269194414785935,1.69179525,2.75467325,907.444571200702,1.00172173761116
"z_id[1,64]",-0.115755287001,0.864777480690758,-1.923184,1.40815975,3041.07101339065,1.00114752760556
"z_id[1,65]",-0.814149237166667,0.795853295889109,-2.41643375,0.651299400000001,2817.87808682542,0.999941232003253
"z_id[1,66]",1.519107783,0.291821738497262,0.927674975,2.08816475,1656.10680897729,0.999667263996994
"z_id[1,67]",1.68812750333333,0.327501552224356,1.0223685,2.3146705,1646.28831573626,1.0009386198498
"z_id[1,68]",0.37334183247,0.283707217057468,-0.216591325,0.903015175,1352.93942886709,1.00137489736518
"z_id[1,69]",-0.329401204030667,0.701455982133911,-1.83082625,0.920631675,2738.91064964253,1.00062136056467
"z_id[1,70]",1.20660714666667,0.245863463116536,0.72274975,1.7091205,1089.49089098286,1.00014782155802
"z_id[1,71]",-0.665943044972,0.722195405389699,-2.22500725,0.621604300000001,2790.28486074842,1.00032258059798
"z_id[1,72]",0.627194987602867,0.464709924420552,-0.380542875,1.45589325,2335.2630542722,0.999498633360406
"z_id[1,73]",-0.607130496956667,0.507751619085241,-1.73596925,0.300132,2708.96346709921,1.00003792522988
"z_id[1,74]",-1.62421730763333,0.621267916744898,-2.95859375,-0.557237425,3370.88730801646,0.999830079573918
"z_id[1,75]",-0.55184163744,0.724285378122576,-2.05646,0.741664325,3596.69004436328,1.00015888100347
"z_id[1,76]",-1.23383936461333,0.775172691385501,-2.81048025,0.1286154,2970.52445909235,0.999724039770636
"z_id[1,77]",1.68361502466667,0.300480856659735,1.08014375,2.27535,1437.29610875822,1.00079318564986
"z_id[1,78]",-0.584041053947667,0.735776689172884,-2.08964025,0.76436595,2891.25314272013,0.999909550435104
"z_id[1,79]",-0.761448853803667,0.500356676662202,-1.8215185,0.11783585,2415.88473883125,0.99951022574292
"z_id[1,80]",-0.7335546849346,0.688038917089306,-2.201362,0.466900075,3064.30957538198,1.00121196657726
"z_id[1,81]",1.01216041642567,0.39545860164135,0.193974375,1.735677,2522.23617457655,1.00038471195599
"z_id[1,82]",0.65887229891,0.280952753226507,0.10353235,1.205347,1327.11082553259,0.99961478922921
"z_id[1,83]",0.368402676126667,0.582655556653519,-0.8585343,1.4058515,3083.35556729963,1.00027760602721
"z_id[1,84]",0.3245288121718,0.637336711425851,-1.0463135,1.43146025,2649.3186658262,1.00097411500893
"z_id[1,85]",-0.709260368844667,0.749330164925294,-2.28372475,0.572101125000001,2879.5604938771,0.99972156523068
"z_id[1,86]",0.134937159716667,0.356839882946768,-0.608256949999999,0.7874305,1968.23927350089,0.999979715128477
"z_id[1,87]",-0.211305192311667,0.338273420804699,-0.917643225,0.405179775,1492.97387303288,1.00186364605698
"z_id[1,88]",0.804249298136667,0.237226476449644,0.345705025,1.2680965,1061.53794676617,1.00047155161224
"z_id[1,89]",-0.283063857606,0.37262982646814,-1.0549365,0.38289545,2134.64363280512,1.00009094918462
"z_id[1,90]",-0.202846664128667,0.716559270142665,-1.67914,1.0717615,2994.49352289988,1.00005780816967
"z_id[1,91]",1.034751601172,0.473344292977905,0.0412692075000001,1.879666,2678.04127358876,1.00128365384136
"z_id[1,92]",-1.39656264242667,0.604378989117672,-2.727177,-0.34052085,2935.05048280509,0.999241122773122
"z_id[1,93]",0.570854820652333,0.504974190808424,-0.547752275,1.45338675,2724.8583075164,0.999325810635868
"z_id[1,94]",1.4611813624,0.303029721396064,0.848959375,2.05328125,1187.71722565061,1.00137269486079
"z_id[1,95]",-0.523643049738333,0.82039463946256,-2.22899875,0.92211255,3574.69722958404,0.999346224538972
"z_id[1,96]",0.559944425083333,0.441470263831419,-0.389827025,1.3604035,3183.86237213705,1.00077906123352
"z_id[1,97]",0.970366515433333,0.248611744746409,0.45973435,1.45507275,1118.56478674064,1.00150821938689
"z_id[1,98]",-0.176948638474333,0.48388737078544,-1.23841075,0.702599175,2306.4352498483,1.00009829882274
"z_id[1,99]",0.584108783264333,0.348190129019459,-0.12875035,1.2262025,2064.07220680069,1.0001749784238
"z_id[1,100]",-0.565601581981333,0.775293155278491,-2.1768295,0.8350998,3344.82737657556,1.00234971873558
"z_id[1,101]",0.007563373231,0.543368573012704,-1.14572275,0.98899125,2574.75387220071,0.999729748751017
"z_id[1,102]",-1.20901336959,0.615740103734056,-2.571646,-0.145150925,2866.04495271813,1.00008107849135
"z_id[1,103]",-0.361195505756,0.686609868461959,-1.81340775,0.872381225,2529.27948352386,0.999289254619805
"z_id[1,104]",-0.866217240518,0.748899478536408,-2.4364355,0.45294715,3162.02384952263,0.999340284712362
"z_id[1,105]",-0.730705157886333,0.711243598907743,-2.2144475,0.53423605,3184.64367940852,0.999856426213403
"z_id[1,106]",-0.910312390403667,0.784453770052465,-2.5570205,0.4586938,3105.4571675696,0.999896914325262
