"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a[1]",-3.964962739,0.750617269429891,-5.14140425,-2.2373065,952.72418407763,1.00128176223642
"a[2]",-2.95966927166667,0.37657273993927,-3.6263665,-2.12407675,1138.58760626294,1.00075926630243
"a[3]",-2.82267768,0.353496477864356,-3.440125,-1.98711625,1333.57250426384,1.00005389519921
"a[4]",-1.08109482203333,0.263731722668691,-1.566621,-0.508890275,1462.11993397283,0.999984250788943
"b_sex[1]",-0.839482365606667,0.306669952245919,-1.45975425,-0.252626075,1273.4109431008,1.00262287178063
"b_sex[2]",-0.085449947116,0.213202103593594,-0.499075925,0.349156825,831.860474287247,1.00191770621608
"b_sex[3]",-0.0328481736845333,0.156379877693292,-0.34832005,0.265903025,1224.16003618896,0.999664105785849
"b_sex[4]",0.548251485906667,0.132758530159456,0.292051275,0.804016925,690.975631931987,1.0019759131531
"b_middle[1]",1.34314779666667,0.237739539879781,0.870794375,1.80222925,870.760966898432,1.00185630390277
"b_middle[2]",0.927085821,0.144601749980453,0.645701625,1.1987565,1396.59303745328,1.00004562409696
"b_middle[3]",1.50722121,0.122307446437195,1.27122225,1.746088,1057.24992190496,1.00380717724201
"b_middle[4]",-0.34119563809,0.103704231817916,-0.5428984,-0.132014975,951.01894282067,1.00141660097417
"b_ado[1]",1.79260434666667,0.238277098627942,1.3386405,2.2793135,1069.20449669907,1.00116250043952
"b_ado[2]",1.26305370766667,0.178605018786383,0.90633145,1.611632,1052.82318544671,1.0031439020056
"b_ado[3]",2.10227285333333,0.128250354732277,1.84518475,2.34943975,836.121875844457,1.00210138567497
"b_ado[4]",-2.18393139333333,0.148375205398738,-2.4752315,-1.8967235,1019.93299646412,1.00156199839659
"b_sex_middle[1]",-0.395499004891,0.351244962828786,-1.09599475,0.311550225,1066.06409171361,0.999994070136764
"b_sex_middle[2]",0.2723717250234,0.217761339117114,-0.154461525,0.692332125,1226.65429559988,1.00061694639169
"b_sex_middle[3]",-0.6686897569,0.1705155469293,-1.002738,-0.342000125,1260.90411734129,0.99984118279404
"b_sex_middle[4]",-0.207130039601,0.145702881968445,-0.49266035,0.0766810525000002,834.400310221142,0.999980967072436
"b_sex_ado[1]",-1.19512365163333,0.387451782052396,-1.93085775,-0.42175565,1394.50152331662,1.00144286076993
"b_sex_ado[2]",0.541893436183333,0.251604624279923,0.0443828850000003,1.026779,925.077646129881,1.00416751211483
"b_sex_ado[3]",-0.9044307,0.190990052404961,-1.270738,-0.530120225,1048.44547075589,0.999875301467685
"b_sex_ado[4]",0.8356825183,0.198467131609246,0.44259225,1.221839,1031.19694803024,1.00227750450568
"b_div[1]",-0.156138889811533,0.76891478010534,-1.73081675,1.2567425,2438.44201347436,0.999521354662962
"b_div[2]",-0.130040138937667,0.56662498978531,-1.27257425,0.9303479,1688.69387326836,1.00027673340782
"b_div[3]",0.0247430931291333,0.515610757194276,-1.06290025,0.99968285,1732.45792595636,1.00074043790239
"b_div[4]",0.0958006792123333,0.437967027381055,-0.8163472,0.922336125000001,1882.33951039305,0.999910831996718
"b_sex_div[1]",-0.85960931383,0.319052135015233,-1.4768045,-0.25308005,989.053936328379,1.00130089946279
"b_sex_div[2]",0.312122078954,0.231750321069709,-0.138888675,0.7526375,650.343125420887,1.00132639099646
"b_sex_div[3]",-0.199725279362333,0.154488276560114,-0.51186075,0.0913066725000002,1175.46764959946,1.0015022445357
"b_sex_div[4]",0.256101867613667,0.162438627034895,-0.05276849,0.57890615,838.747451645404,1.00227764970041
"b_nonforaged[1]",0.195265174212967,0.455266049186862,-0.701601474999999,1.140176,1878.45018217453,1.00130673266444
"b_nonforaged[2]",-0.45206136501,0.279654874390125,-0.983695675,0.12832535,1528.63395000695,1.00036776743968
"b_nonforaged[3]",0.105304210689333,0.248344435310906,-0.36664305,0.62469645,1808.97352129407,1.00025283310367
"b_nonforaged[4]",-0.211796073873133,0.201826014687807,-0.615630325,0.2021349,1668.28693623307,0.999568558093735
"z_id[1,1]",-0.384533936558333,0.798578928747456,-2.0210535,1.119555,4937.41528081618,0.999573296764152
"z_id[1,2]",-0.537359524171267,0.814606644993668,-2.24557275,0.929269375000001,4604.14566004704,0.99948512904211
"z_id[1,3]",-0.310587964925667,0.903070749150304,-2.222385,1.4069805,8844.64620231202,0.999195165724716
"z_id[1,4]",-0.26115789557,0.899909839467973,-2.08018,1.41423825,6951.80906388829,0.999880153134442
"z_id[1,5]",-0.245355682433333,0.90865194588404,-2.11558975,1.40584025,7312.76240864838,0.999201281987679
"z_id[1,6]",-0.136600220290333,0.898785097188546,-1.95575625,1.47503075,6453.55611408715,0.999065199641553
"z_id[1,7]",-0.1324761175275,0.862144512089377,-1.807708,1.4643155,5740.90933473333,1.0004045615938
"z_id[1,8]",-0.431803290567467,0.903851760314231,-2.29827975,1.2748635,7326.07305312004,0.999167420477355
"z_id[1,9]",-0.474579154077333,0.841124176252224,-2.21656225,1.0707575,6581.19087287904,0.999414230803393
"z_id[1,10]",1.82656753615,0.591510341956328,0.6239201,2.9565035,3933.1771684812,0.999796653434146
"z_id[1,11]",0.646127723707333,0.502141677376737,-0.364054,1.597729,3019.67797096369,1.00082869112006
"z_id[1,12]",0.562425803598333,0.551279215349216,-0.56541415,1.633266,3186.20987798151,0.99958984522705
"z_id[1,13]",-0.301348669555333,0.904983948311819,-2.14491325,1.42997525,7030.5970307441,0.999030584066252
"z_id[1,14]",1.29577920640153,0.643615312466956,0.0217854125000006,2.51304825,3609.14917631965,0.999481151381035
"z_id[1,15]",-0.474982432716667,0.840391453259948,-2.2070635,1.050151,5141.85490149454,0.999446798684292
"z_id[1,16]",0.532808671893,0.361207790993099,-0.224391375,1.19342575,2276.83377165097,1.00051454164248
"z_id[1,17]",-0.477906567638167,0.73908545566764,-2.04109225,0.7866982,4257.11938390506,0.999663547515215
"z_id[1,18]",-0.175913298676067,0.409046444939018,-1.03490175,0.545236675000001,2398.47004325012,0.99945489836745
"z_id[1,19]",-0.5044699648709,0.732355067667078,-1.998908,0.8392148,4605.31552319866,0.999312654243144
"z_id[1,20]",1.651008801,0.244682453505957,1.18194725,2.14474075,1270.69649413366,1.00430953231108
"z_id[1,21]",-0.675209963932667,0.781374148630882,-2.3408195,0.684012075,3815.1197840469,0.999673650621486
"z_id[1,22]",-0.961420185504133,0.623212517449852,-2.32056925,0.147384775,3711.02142817952,1.00001953415341
"z_id[1,23]",-0.281473020113333,0.857661238004373,-2.06637325,1.27440075,4041.63298362555,1.00109390664606
"z_id[1,24]",0.00293234761866667,0.814266177222156,-1.595275,1.47460275,6552.72300576209,0.999356857915416
"z_id[1,25]",0.145831459965,0.783574866745341,-1.49617025,1.59265625,4191.65973971119,1.00004860830315
"z_id[1,26]",0.440696972796667,0.330619432301887,-0.25088535,1.04199525,2293.07446799278,1.00020179852048
"z_id[1,27]",-0.688012361519,0.880894479677483,-2.52018725,0.944770375,5590.635387002,0.999203074560377
"z_id[1,28]",1.013158491584,0.461511500903352,0.0224978600000003,1.8366715,2834.96320884935,0.999785175995259
"z_id[1,29]",-0.326727510979667,0.824478467208913,-2.05947275,1.188709,4081.93017587281,0.999861604203003
"z_id[1,30]",-0.458262761407333,0.544851894244241,-1.57540775,0.5016886,3508.31873194475,0.999295425916019
"z_id[1,31]",-1.160604830901,0.612970306932492,-2.46562775,-0.0922570749999997,4212.78308260859,0.999374035472107
"z_id[1,32]",-0.808911486981,0.635523667253144,-2.14108175,0.3028864,2965.94586235053,1.00068691956928
"z_id[1,33]",-1.01989442147633,0.656128918399988,-2.4392485,0.102120375,3044.79293557765,1.00108753326404
"z_id[1,34]",0.984370562588667,0.541382042497985,-0.174700674999999,1.94893725,3893.56076109324,1.00018047013478
"z_id[1,35]",2.7569829,0.263653929442543,2.24013625,3.28398775,1144.13476996494,1.00623548860564
"z_id[1,36]",-0.0134262461416667,0.381787127904681,-0.7929638,0.671987575,2628.86225519455,1.00073174768712
"z_id[1,37]",0.349265582470833,0.574440255652643,-0.872946675,1.36771275,3931.12763000662,0.999388313114043
"z_id[1,38]",-0.761571382106667,0.727020700039461,-2.3270955,0.46695215,4401.22751281468,0.999748983419444
"z_id[1,39]",2.23075554,0.293829038424243,1.64926125,2.812313,1604.10524247504,1.00095394898065
"z_id[1,40]",0.727637977736667,0.539454280043782,-0.43074405,1.676858,3860.23886985698,0.999244303251234
"z_id[1,41]",0.518700219023,0.595219289985227,-0.754942075,1.56043225,2423.5942289817,0.99985876922027
"z_id[1,42]",-0.806162787301333,0.778674822743319,-2.42783025,0.571617725,4785.85371230886,0.999520258924314
"z_id[1,43]",-0.901172513622333,0.787704759835391,-2.58016475,0.4893883,4609.67848412155,0.999112019295106
"z_id[1,44]",1.55665881456667,0.4260745378991,0.701463225,2.3495375,3297.51418200443,1.00013578816443
"z_id[1,45]",-0.377532628759333,0.536857129533513,-1.55113275,0.583754125,3372.95140609044,0.999338293599767
"z_id[1,46]",-0.747276368264033,0.745058729518671,-2.3214215,0.5578611,4407.93532024439,0.999534270808292
"z_id[1,47]",-0.61902803817,0.761767623847688,-2.230122,0.709351975,3928.89999997586,0.999948497169639
"z_id[1,48]",-0.728010893303323,0.760304586369138,-2.258709,0.674348800000001,4457.03052679909,0.99979055623942
"z_id[1,49]",-0.86553797683,0.767120788776313,-2.465892,0.509111875,4181.44364435447,0.999245091312301
"z_id[1,50]",0.483606226553,0.421427686265816,-0.406203525,1.26082325,2436.48137588126,0.999885844262995
"z_id[1,51]",-0.9635994243486,0.772600904909868,-2.610294,0.430323325000001,4343.45316388545,0.999665455373122
"z_id[1,52]",-0.719345578547433,0.755515251058634,-2.248433,0.6407358,4806.7577340496,0.999321326230308
"z_id[1,53]",-0.4905876399982,0.724101613179991,-2.04545675,0.8031498,3756.54228529483,1.0003472916929
